(0, 140, 1)
(0, 160, 1)
(0, 180, 1)
(120, 60, 1)
(140, 60, 1)
(140, 40, 1)
(160, 60, 1)
(160, 40, 1)
(160, 20, 1)
(180, 0, 1)
(200, 0, 1)
(220, 0, 1)
(240, 0, 1)
(260, 0, 1)
(280, 0, 1)
(300, 0, 1)
(320, 0, 1)
(340, 0, 1)
(360, 0, 1)
(380, 0, 1)
(400, 0, 1)
(420, 0, 1)
(440, 0, 1)
(460, 0, 1)
(480, 0, 1)
(500, 0, 1)
(520, 0, 1)
(540, 0, 1)
(560, 0, 1)
(580, 0, 1)
(600, 0, 1)
(620, 0, 1)
(640, 0, 1)
(660, 0, 1)
(680, 0, 1)
(700, 0, 1)
(720, 0, 1)
(740, 0, 1)
(760, 0, 1)
(780, 0, 1)
(80, 540, 3)
(80, 520, 3)
(80, 480, 3)
(80, 440, 3)
(80, 420, 3)
(80, 380, 3)
(100, 380, 3)
(140, 380, 3)
(160, 380, 3)
(160, 440, 3)
(180, 440, 3)
(220, 440, 3)
(260, 440, 3)
(260, 460, 3)
(260, 500, 3)
(260, 520, 3)
(260, 540, 3)
(220, 540, 3)
(160, 540, 3)
(140, 540, 3)
(100, 540, 3)
(100, 200, 3)
(60, 200, 3)
(60, 180, 3)
(60, 160, 3)
(60, 140, 3)
(60, 60, 3)
(60, 40, 3)
(80, 40, 3)
(120, 40, 3)
(140, 40, 3)
(160, 40, 3)
(200, 40, 3)
(220, 40, 3)
(220, 60, 3)
(220, 120, 3)
(220, 140, 3)
(220, 180, 3)
(220, 200, 3)
(180, 200, 3)
(120, 160, 3)
(80, 160, 3)
(80, 120, 3)
(80, 100, 3)
(80, 80, 3)
(120, 80, 3)
(120, 100, 3)
(120, 120, 3)
(160, 160, 3)
(160, 120, 3)
(160, 100, 3)
(160, 80, 3)
(200, 80, 3)
(200, 100, 3)
(200, 120, 3)
(200, 160, 3)
(260, 180, 3)
(280, 180, 3)
(260, 220, 3)
(260, 240, 3)
(260, 360, 3)
(260, 380, 3)
(280, 380, 3)
(340, 380, 3)
(440, 380, 3)
(460, 380, 3)
(500, 380, 3)
(540, 380, 3)
(560, 380, 3)
(600, 380, 3)
(620, 380, 3)
(620, 360, 3)
(620, 340, 3)
(620, 240, 3)
(620, 200, 3)
(620, 180, 3)
(600, 180, 3)
(540, 180, 3)
(520, 180, 3)
(480, 180, 3)
(460, 180, 3)
(420, 180, 3)
(320, 180, 3)
(600, 100, 3)
(640, 100, 3)
(640, 80, 3)
(640, 60, 3)
(620, 60, 3)
